Imagine Dragons,Demons,Sad,3LlAyCYU26dvFZBDUIMb7a
Taylor Swift,Cruel Summer,Danceable,1BxfuPKGuaTgP7aM0Bbdwr
Taylor Swift,Stay Stay Stay,Happy,7eQj6r5PIdYKEIZjucBMcq
Taylor Swift,no body no crime,Chill,3RaT22zZsxVYxxKR7TAaYF
Bruno Mars,Talking to the Moon,Sad,161DnLWsx1i3u1JT05lzqU
Soulja Boy,Kiss Me Thru The Phone,Danceable,2q4rjDy9WhaN3o9MvDbO21
Justin Bieber,Favorite Girl,Danceable,4nTjkWK590oBDcnIxTr1mI
Bazzi,Paradise,Chill,0Rx0DJI556Ix5gBny6EWmn
Olivia Rodrigo,Happier,Sad,2tGvwE8GcFKwNdAXMnlbfl
Conan Gray,Wish You Were Sober,Happy,0kn2gu8Pd03DiYHzRvX2Xk
Blxst,Chosen,Chill,1dIWPXMX4kRHj6Dt2DStUQ
Conan Gray,Heather,Sad,4xqrdfXkTW4T0RauPLv3WA
Blackbear,I feel bad,Happy,1OkIpW255qLxswGyjgUL5x
PRETYMUCH,Phases,Chill,3je88Q4OvTqIx7BFRFYvRA
Dhruv,Double take,Sad,47isJpIIO8m7BJEhiFhnaf
Polo G,I know,Chill,40j4RoqmLiivqzRObbQ4BF
Travis Scott,WAKE UP,Chill,20MuVazoNMv6xjKPnRFOxG
Wes Walker,Jordan Belfort,Danceable,6qMXubogFdMrvVMJwqATzd
A Boogie Wit da Hoodie,Me and My Guitar,Chill,6cZH4rX1KTt1aJ3Ql6Ynja
One Direction,Steal My Girl,Happy,2Bs4jQEGMycglOfWPBqrVG
Giveon,For Tonight,Sad,61Emqg95O9zo1GNOcyxq4Y